"ID"	"batch"	"protocol"	"date"	"location"	"batch_date"
"C2_25_2024_11_29"	"20241213_2414430045"	"both"	"2024_11_29"	"25"	"20241213"
"E1_10_2024_11_29"	"20241213_2414430045"	"RSV-A"	"2024_11_29"	"10"	"20241213"
"F2_15_2024_11_29"	"20241213_2414430045"	"both"	"2024_11_29"	"15"	"20241213"
"H1_17_2024_11_29"	"20241213_2414430045"	"both"	"2024_11_29"	"17"	"20241213"
"A2_17_2024_11_30"	"20241213_2414430045"	"both"	"2024_11_30"	"17"	"20241213"
"A3_16_2024_11_30"	"20241213_2414430045"	"RSV-A"	"2024_11_30"	"16"	"20241213"
"C1_05_2024_11_30"	"20241213_2414430045"	"RSV-A"	"2024_11_30"	"05"	"20241213"
"D2_25_2024_11_30"	"20241213_2414430045"	"both"	"2024_11_30"	"25"	"20241213"
"F1_10_2024_11_30"	"20241213_2414430045"	"RSV-A"	"2024_11_30"	"10"	"20241213"
"B3_16_2024_12_01"	"20241213_2414430045"	"RSV-A"	"2024_12_01"	"16"	"20241213"
"G2_15_2024_12_01"	"20241213_2414430045"	"both"	"2024_12_01"	"15"	"20241213"
"A1_05_2024_12_03"	"20241220_2414654841"	"both"	"2024_12_03"	"05"	"20241220"
"B2_25_2024_12_03"	"20241220_2414654841"	"both"	"2024_12_03"	"25"	"20241220"
"D1_10_2024_12_03"	"20241220_2414654841"	"both"	"2024_12_03"	"10"	"20241220"
"G1_17_2024_12_03"	"20241220_2414654841"	"both"	"2024_12_03"	"17"	"20241220"
"H2_16_2024_12_04"	"20241220_2414654841"	"both"	"2024_12_04"	"16"	"20241220"
"E2_15_2024_12_05"	"20241220_2414654841"	"both"	"2024_12_05"	"15"	"20241220"
"B1_05_2024_12_07"	"20241220_2414654841"	"both"	"2024_12_07"	"05"	"20241220"
"C2_25_2024_12_07"	"20241220_2414654841"	"both"	"2024_12_07"	"25"	"20241220"
"E1_10_2024_12_07"	"20241220_2414654841"	"both"	"2024_12_07"	"10"	"20241220"
"H1_17_2024_12_07"	"20241220_2414654841"	"both"	"2024_12_07"	"17"	"20241220"
"A2_17_2024_12_08"	"20241220_2414654841"	"both"	"2024_12_08"	"17"	"20241220"
"A3_16_2024_12_08"	"20241220_2414654841"	"both"	"2024_12_08"	"16"	"20241220"
"C1_05_2024_12_08"	"20241220_2414654841"	"both"	"2024_12_08"	"05"	"20241220"
"D2_25_2024_12_08"	"20241220_2414654841"	"both"	"2024_12_08"	"25"	"20241220"
"F1_10_2024_12_08"	"20241220_2414654841"	"both"	"2024_12_08"	"10"	"20241220"
"F2_15_2024_12_08"	"20241220_2414654841"	"both"	"2024_12_08"	"15"	"20241220"
"B3_16_2024_12_09"	"20241220_2414654841"	"both"	"2024_12_09"	"16"	"20241220"
"G2_15_2024_12_09"	"20241220_2414654841"	"both"	"2024_12_09"	"15"	"20241220"
"E2_15_2024_12_10"	"20250110_2414630983"	"both"	"2024_12_10"	"15"	"20250110"
"A1_05_2024_12_11"	"20250110_2414630983"	"both"	"2024_12_11"	"05"	"20250110"
"B2_25_2024_12_11"	"20250110_2414630983"	"both"	"2024_12_11"	"25"	"20250110"
"D1_10_2024_12_11"	"20250110_2414630983"	"both"	"2024_12_11"	"10"	"20250110"
"G1_17_2024_12_11"	"20250110_2414630983"	"both"	"2024_12_11"	"17"	"20250110"
"H2_16_2024_12_12"	"20250110_2414630983"	"both"	"2024_12_12"	"16"	"20250110"
"B1_05_2024_12_13"	"20250110_2414630983"	"both"	"2024_12_13"	"05"	"20250110"
"C2_25_2024_12_13"	"20250110_2414630983"	"both"	"2024_12_13"	"25"	"20250110"
"E1_10_2024_12_13"	"20250110_2414630983"	"both"	"2024_12_13"	"10"	"20250110"
"F2_15_2024_12_13"	"20250110_2414630983"	"both"	"2024_12_13"	"15"	"20250110"
"H1_17_2024_12_13"	"20250110_2414630983"	"both"	"2024_12_13"	"17"	"20250110"
"A3_16_2024_12_14"	"20250110_2414630983"	"both"	"2024_12_14"	"16"	"20250110"
"A2_17_2024_12_15"	"20250110_2414630983"	"both"	"2024_12_15"	"17"	"20250110"
