"","ara_id","sample_id","collection_date","flow","loq","pathogen","conc","total_pop","ara_name","load","median_7d"
"41",26101,"10_2025_01_13",2025-01-13,216479,32880,"RSV-A",28221.146,475198,"Werdhölzli",12856294.5654948,12654509.2893573
"42",26101,"10_2025_01_13",2025-01-13,216479,32880,"RSV-B",7207.6426,475198,"Werdhölzli",3283480.28065228,3283480.28065228
"43",26101,"10_2025_01_19",2025-01-19,176953,32880,"RSV-A",21428.836,475198,"Werdhölzli",7979614.42747655,11945102.7296664
"44",26101,"10_2025_01_19",2025-01-19,176953,32880,"RSV-B",6012.781,475198,"Werdhölzli",2239023.80963935,3405844.43880845
"45",26101,"10_2025_01_21",2025-01-21,177902,32880,"RSV-A",33801.742,475198,"Werdhölzli",12654509.2893573,11074358.4168094
"46",26101,"10_2025_01_21",2025-01-21,177902,32880,"RSV-B",14554.038,475198,"Werdhölzli",5448660.28113755,3903577.92982504
"47",26101,"10_2025_01_24",2025-01-24,174999,32880,"RSV-A",45178.434,475198,"Werdhölzli",16637655.822554,12654509.2893573
"48",26101,"10_2025_01_24",2025-01-24,174999,32880,"RSV-B",10599.903,475198,"Werdhölzli",3903577.92982504,3903577.92982504
"49",26101,"10_2025_01_29",2025-01-29,353667,32880,"RSV-A",14879.853,475198,"Werdhölzli",11074358.4168094,11074358.4168094
"50",26101,"10_2025_01_29",2025-01-29,353667,32880,"RSV-B",4576.1987,475198,"Werdhölzli",3405844.43880845,5213477.7130796
"51",26101,"10_2025_02_01",2025-02-01,209583,32880,"RSV-A",15276.465,475198,"Werdhölzli",6737585.94121819,11074358.4168094
"52",26101,"10_2025_02_01",2025-02-01,209583,32880,"RSV-B",15381.58,475198,"Werdhölzli",6783946.23112892,5213477.7130796
"53",26101,"10_2025_02_06",2025-02-06,175575,32880,"RSV-A",34651.492,475198,"Werdhölzli",12802948.8926721,11074358.4168094
"54",26101,"10_2025_02_06",2025-02-06,175575,32880,"RSV-B",14110.404,475198,"Werdhölzli",5213477.7130796,5213477.7130796
"55",26101,"10_2025_02_09",2025-02-09,154659,32880,"RSV-A",31980.82,475198,"Werdhölzli",10408548.942504,10408548.942504
"56",26101,"10_2025_02_09",2025-02-09,154659,32880,"RSV-B",21453.719,475198,"Werdhölzli",6982375.19270073,5817604.88926721
"57",26101,"10_2025_02_10",2025-02-10,159192,32880,"RSV-A",19039.047,475198,"Werdhölzli",6378107.58888716,6737585.94121819
"58",26101,"10_2025_02_10",2025-02-10,159192,32880,"RSV-B",8729.142,475198,"Werdhölzli",2924274.8775542,5817604.88926721
"59",26101,"10_2025_02_14",2025-02-14,226655,32880,"RSV-A",28212.613,475198,"Werdhölzli",13456558.7387047,9030494.89576976
"60",26101,"10_2025_02_14",2025-02-14,226655,32880,"RSV-B",12197.014,475198,"Werdhölzli",5817604.88926721,5213477.7130796
"61",26101,"10_2025_02_18",2025-02-18,165703,32880,"RSV-A",15454.74,475198,"Werdhölzli",5389115.2366382,6378107.58888716
"62",26101,"10_2025_02_18",2025-02-18,165703,32880,"RSV-B",17625.072,475198,"Werdhölzli",6145916.66129908,5817604.88926721
"63",26101,"10_2025_02_22",2025-02-22,149562,32880,"RSV-A",19003.012,475198,"Werdhölzli",5980935.27486227,5980935.27486227
"64",26101,"10_2025_02_22",2025-02-22,149562,32880,"RSV-B",14204.848,475198,"Werdhölzli",4470779.49944234,4568277.15111596
"65",26101,"10_2025_02_26",2025-02-26,193964,32880,"RSV-A",22124.07,475198,"Werdhölzli",9030494.89576976,5575879.72457797
"66",26101,"10_2025_02_26",2025-02-26,193964,32880,"RSV-B",11191.954,475198,"Werdhölzli",4568277.15111596,4568277.15111596
"67",26101,"10_2025_03_02",2025-03-02,149077,32880,"RSV-A",17773.68,475198,"Werdhölzli",5575879.72457797,5575879.72457797
"68",26101,"10_2025_03_02",2025-03-02,149077,32880,"RSV-B",31826.768,475198,"Werdhölzli",9984551.89865277,4470779.49944234
"69",26101,"10_2025_03_06",2025-03-06,151299,32880,"RSV-A",7305.1045,475198,"Werdhölzli",2325883.11765938,5575879.72457797
"70",26101,"10_2025_03_06",2025-03-06,151299,32880,"RSV-B",11530.713,475198,"Werdhölzli",3671280.91066671,3780906.29070619
"71",26101,"10_2025_03_07",2025-03-07,150050,32880,"RSV-A",9607.569,475198,"Werdhölzli",3033715.90042466,3947499.90070455
"72",26101,"10_2025_03_07",2025-03-07,150050,32880,"RSV-B",8267.277,475198,"Werdhölzli",2610501.12553083,3671280.91066671
