location	variant	date	proportion	proportionLower	proportionUpper
Basel (BS)	A.D.1	2024-11-18	0.023929947081718105	1.7079153052371113e-12	0.3964922581690426
Basel (BS)	A.D.1	2024-12-09	0.6283322478130219	3.594080158442534e-15	0.988673856249804
Basel (BS)	A.D.1	2025-01-01	0.010417833739564215	3.1918804982325063e-21	0.018995826666142305
Basel (BS)	A.D.1	2025-01-12	0.7047168224544952	0.5095626886777084	0.9291420147255429
Basel (BS)	A.D.1	2025-01-16	0.8195468552914791	0.5916326476948464	0.9657226598496158
Basel (BS)	A.D.1	2025-01-20	0.9230627541588828	0.771216484105907	0.9815618456445052
Basel (BS)	A.D.1	2025-01-24	0.9689428110937837	0.8666327463886716	0.98863636294926
Basel (BS)	A.D.1	2025-02-02	0.7904392633621699	0.5338033625787064	0.9731938110615805
Basel (BS)	A.D.1	2025-02-06	0.5779351747952366	0.202321473511711	0.951862601153459
Basel (BS)	A.D.1	2025-02-27	0.5703812348548106	0.004944138556272489	0.9599143315848169
Basel (BS)	A.D.1	2025-03-03	0.564225479095636	0.0074365911652452075	0.9722777253119532
Basel (BS)	A.D.1	2025-03-07	0.34587678007312206	0.0049679524999200145	0.9688971582140163
Basel (BS)	A.D.1.4	2024-11-18	0.00039632981360918773	4.3335950676537833e-10	0.002457885377560078
Basel (BS)	A.D.1.4	2024-12-09	0.0011820236487981833	5.180569525286956e-08	0.002906249694768054
Basel (BS)	A.D.1.4	2025-01-01	0.0004757746843733593	1.5799659570353142e-20	0.0026363758665923663
Basel (BS)	A.D.1.4	2025-01-12	0.0011864249476905525	6.306206205640062e-10	0.0029497950981000054
Basel (BS)	A.D.1.4	2025-01-16	0.001233857539171077	2.107431997610496e-05	0.0028190526125685326
Basel (BS)	A.D.1.4	2025-01-20	0.001301240913796291	0.00013455276843853567	0.002808944711641669
Basel (BS)	A.D.1.4	2025-01-24	0.0015607972383208685	0.00038309442507160156	0.0033438586092223617
Basel (BS)	A.D.1.4	2025-02-02	0.002063250435764237	0.0005095616534127303	0.004151027630278753
Basel (BS)	A.D.1.4	2025-02-06	0.0015009393909581224	0.00027194624660025217	0.0034903990313561884
Basel (BS)	A.D.1.4	2025-02-27	0.0015223310837436657	6.710799715091558e-05	0.0036977110332423956
Basel (BS)	A.D.1.4	2025-03-03	0.0014910493409634232	0.00014419415896032333	0.003566551555243521
Basel (BS)	A.D.1.4	2025-03-07	0.0017235942013626077	1.0004203123055208e-05	0.004434991183671007
Basel (BS)	A.D.1.5	2024-11-18	0.00020588707596732214	1.4580498970002721e-15	0.0024430635537153246
Basel (BS)	A.D.1.5	2024-12-09	1.1652334030118701e-05	4.946833027073391e-33	0.00017267194299880583
Basel (BS)	A.D.1.5	2025-01-01	0.002888650790518697	2.2068862409397758e-13	0.009696009863316039
Basel (BS)	A.D.1.5	2025-01-12	0.1675287931370488	0.006792099395273166	0.39967786763381574
Basel (BS)	A.D.1.5	2025-01-16	0.13916327144368743	0.008893500280308574	0.23989678080492577
Basel (BS)	A.D.1.5	2025-01-20	0.060189877524411	0.005772632594864478	0.20313423118007798
Basel (BS)	A.D.1.5	2025-01-24	0.020086041497917782	0.0036599429580164277	0.12460979813208908
Basel (BS)	A.D.1.5	2025-02-02	0.012612046941613289	0.0023155492544935656	0.043865052257817075
Basel (BS)	A.D.1.5	2025-02-06	0.03092179432834655	0.0018810320699444883	0.3771798441601924
Basel (BS)	A.D.1.5	2025-02-27	0.19066657538180956	0.004598565100106443	0.5590855589886479
Basel (BS)	A.D.1.5	2025-03-03	0.3797552109944802	0.00689682742448018	0.9376879534757269
Basel (BS)	A.D.1.5	2025-03-07	0.6377329334460984	0.015371152588444896	0.9732191182958991
Basel (BS)	A.D.3	2024-11-18	0.012915465976741291	1.823797916169196e-08	0.14326843587606447
Basel (BS)	A.D.3	2024-12-09	0.11129113068956906	4.17421191364219e-30	0.5018890252182084
Basel (BS)	A.D.3	2025-01-01	0.14170559922431955	6.83701694505644e-05	0.8981916911347156
Basel (BS)	A.D.3	2025-01-12	0.03267071159972921	0.0022613769914328827	0.20672026505396565
Basel (BS)	A.D.3	2025-01-16	0.024719424136386774	0.0038154290586423895	0.14846919662959412
Basel (BS)	A.D.3	2025-01-20	0.011525404072638506	0.0038894166056639046	0.03195559716246298
Basel (BS)	A.D.3	2025-01-24	0.006139017894777488	0.002421432435100755	0.017318462487406833
Basel (BS)	A.D.3	2025-02-02	0.03926638510722922	0.003590794964256281	0.2469917935341993
Basel (BS)	A.D.3	2025-02-06	0.11515327164987328	0.0038163993841058247	0.463024890923325
Basel (BS)	A.D.3	2025-02-27	0.007330965928325503	0.002397898690566554	0.017967780930255205
Basel (BS)	A.D.3	2025-03-03	0.004557840220762423	0.0017043517632793297	0.008725126268267517
Basel (BS)	A.D.3	2025-03-07	0.0036244051657118143	0.0011337775302219073	0.0062209702675327366
Basel (BS)	A.D.3.1	2024-11-18	5.579277365814815e-06	4.6624963021376395e-23	2.6261252179454983e-05
Basel (BS)	A.D.3.1	2024-12-09	0.00034557423909272155	6.151841612048972e-23	0.0023744997436877893
Basel (BS)	A.D.3.1	2025-01-01	0.00029608547625793226	3.1530141653705995e-22	0.002606464147616076
Basel (BS)	A.D.3.1	2025-01-12	0.0005425077890023152	8.588277535163942e-15	0.0014299006206970417
Basel (BS)	A.D.3.1	2025-01-16	0.0005652640789552555	4.271091258371723e-13	0.0014955125724169076
Basel (BS)	A.D.3.1	2025-01-20	0.0006480101912784023	4.68452503850155e-05	0.0014574105759408752
Basel (BS)	A.D.3.1	2025-01-24	0.0007012896934000912	0.00010604430046528	0.001562660896559207
Basel (BS)	A.D.3.1	2025-02-02	0.000907025038119776	2.059252737467677e-09	0.0020085841751349416
Basel (BS)	A.D.3.1	2025-02-06	0.0008150879667988039	3.532478623022596e-11	0.0020666238016298377
Basel (BS)	A.D.3.1	2025-02-27	0.0005004497049054473	2.7817300361509733e-13	0.0017081973538856663
Basel (BS)	A.D.3.1	2025-03-03	0.0003661350183523005	1.3598583204164779e-19	0.0013012841141437058
Basel (BS)	A.D.3.1	2025-03-07	0.00039964133949156404	8.370319270257603e-15	0.0013323044950048404
Basel (BS)	A.D.5.2	2024-11-18	0.7533718633385775	0.0017712597498151308	0.9960909878856057
Basel (BS)	A.D.5.2	2024-12-09	0.008297925695602145	7.442963898516863e-22	0.011083505464494516
Basel (BS)	A.D.5.2	2025-01-01	0.39126528709920977	0.004411442030703873	0.9886102564897203
Basel (BS)	A.D.5.2	2025-01-12	0.00444638607976208	0.001969200206940103	0.009386494904537782
Basel (BS)	A.D.5.2	2025-01-16	0.002698930839781519	0.0010594556338965964	0.005071396575387564
Basel (BS)	A.D.5.2	2025-01-20	0.001726817723576323	0.000658926723104811	0.0033731704795169214
Basel (BS)	A.D.5.2	2025-01-24	0.0017485469758888185	0.0006433260362684192	0.0033356858420641863
Basel (BS)	A.D.5.2	2025-02-02	0.006669158057841422	0.0031512319590671686	0.012307970627981033
Basel (BS)	A.D.5.2	2025-02-06	0.002902421480181489	0.0011972791165004593	0.0055321331735854636
Basel (BS)	A.D.5.2	2025-02-27	0.014788109794759773	0.003955922414058947	0.03796125110835133
Basel (BS)	A.D.5.2	2025-03-03	0.00431271426378501	0.0020078293714754884	0.007552009482380846
Basel (BS)	A.D.5.2	2025-03-07	0.0022669724443649376	0.0011564737712808034	0.00367781511310948
Basel (BS)	undetermined	2024-11-18	0.20917492743602073	0.0037832691546924955	0.9974761643504129
Basel (BS)	undetermined	2024-12-09	0.25053944557988583	3.812839632633815e-27	0.9943657850886168
Basel (BS)	undetermined	2025-01-01	0.45295076898575654	0.002748430079211239	0.9692294637040774
Basel (BS)	undetermined	2025-01-12	0.08890835399227186	0.001608783776065598	0.20267630810099355
Basel (BS)	undetermined	2025-01-16	0.012072396670538912	1.2012225124130902e-13	0.04985060536216734
Basel (BS)	undetermined	2025-01-20	0.001545895415416673	5.102953990648053e-19	0.008570892405014564
Basel (BS)	undetermined	2025-01-24	0.0008214956059113122	1.1378609434919595e-16	0.004610176432065341
Basel (BS)	undetermined	2025-02-02	0.1480428710572622	1.395190228763135e-09	0.4202798132283049
Basel (BS)	undetermined	2025-02-06	0.2707713103886052	8.351214469221242e-16	0.4561201430438537
Basel (BS)	undetermined	2025-02-27	0.2148103332516454	5.4592270504977327e-05	0.5467374623040774
Basel (BS)	undetermined	2025-03-03	0.04529157106602064	0.0005855635209552841	0.303521800479278
Basel (BS)	undetermined	2025-03-07	0.008375673329848692	0.0002708983769513343	0.023962454764796543
Chur (GR)	A.D.1	2024-11-24	0.9416934982367836	0.2411103850992412	0.9925105524463386
Chur (GR)	A.D.1	2024-11-30	0.4367332723008223	0.003263572375696235	0.9771830089777586
Chur (GR)	A.D.1	2024-12-03	0.07838109234421592	0.002108924164450951	0.8783472426242214
Chur (GR)	A.D.1	2024-12-07	0.02680754091826238	0.0020466184244090717	0.04255329078428001
Chur (GR)	A.D.1	2024-12-13	0.08631523401331935	0.0007738641738476835	0.9805833858830448
Chur (GR)	A.D.1	2024-12-15	0.1099566234819129	0.0007231521200025809	0.9852286591444931
Chur (GR)	A.D.1	2024-12-28	0.864683579818549	0.0020537171955940375	0.9924965755846757
Chur (GR)	A.D.1	2024-12-29	0.8768156936273037	0.002311898660488516	0.9925627910010367
Chur (GR)	A.D.1	2025-01-11	0.8855296741494554	0.7590156631983922	0.9859062249641769
Chur (GR)	A.D.1	2025-01-19	0.9489448752879204	0.8875213574325964	0.9744739451102874
Chur (GR)	A.D.1	2025-01-21	0.9325447631771462	0.8452677849281074	0.9652117395793908
Chur (GR)	A.D.1	2025-01-24	0.9143001725646315	0.7952953331135317	0.9578525989594385
Chur (GR)	A.D.1	2025-01-29	0.9286582999128573	0.7931780183606558	0.9645370493528909
Chur (GR)	A.D.1	2025-02-01	0.9387340467717094	0.8104900593506863	0.9798743219114818
Chur (GR)	A.D.1	2025-02-06	0.9559416609722072	0.7875924722925863	0.9838031930571904
Chur (GR)	A.D.1	2025-02-09	0.9758031642372835	0.9508690362308005	0.9875114132226656
Chur (GR)	A.D.1	2025-02-14	0.9827241180064878	0.9565604059875399	0.9904669923711077
Chur (GR)	A.D.1	2025-02-18	0.9761174068386071	0.9182942137755601	0.9885592677588511
Chur (GR)	A.D.1	2025-02-22	0.9618003680161781	0.8558289613195479	0.9848811638283946
Chur (GR)	A.D.1	2025-02-26	0.8904417767408147	0.6065436448329125	0.9736273253584622
Chur (GR)	A.D.1	2025-03-02	0.3750934108111018	0.005404484161050313	0.9363277968840018
Chur (GR)	A.D.1	2025-03-06	0.11523304226918003	5.161047134623954e-09	0.8889589493431802
Chur (GR)	A.D.1	2025-03-07	0.11220626337087569	1.0845703672757562e-09	0.91412343855024
Chur (GR)	A.D.1	2025-03-15	0.10148855044762393	0.0008709590967824036	0.34969950817231954
Chur (GR)	A.D.1	2025-03-23	0.014611365164647743	0.0014905321341624157	0.04147428498118275
Chur (GR)	A.D.1	2025-04-05	0.12551584802877536	7.953403142003318e-11	0.8957712711455289
Chur (GR)	A.D.1	2025-04-07	0.06019621393705588	9.842667760602609e-18	0.8938389043357315
Chur (GR)	A.D.1	2025-04-13	0.018883810369002597	1.2175604172332385e-37	0.0078941465706209
Chur (GR)	A.D.1	2025-04-18	0.00047188863086645316	2.0647269776451445e-24	0.0025356198610417607
Chur (GR)	A.D.1.4	2024-11-24	0.000851788024424637	0.0001487146401644541	0.0016013945335000945
Chur (GR)	A.D.1.4	2024-11-30	0.001635011921571383	0.00046390879163214316	0.003551820646912387
Chur (GR)	A.D.1.4	2024-12-03	0.002207759788020558	0.0006031248581825736	0.005352864945925302
Chur (GR)	A.D.1.4	2024-12-07	0.001473978482483704	9.150377554735121e-05	0.0035088081820453033
Chur (GR)	A.D.1.4	2024-12-13	0.0005787062158547337	1.2290470566128578e-13	0.0016169498502411094
Chur (GR)	A.D.1.4	2024-12-15	0.0006138981296580074	3.331732180522477e-14	0.0016921429885697903
Chur (GR)	A.D.1.4	2024-12-28	0.0010113127217962704	0.00023391653188865	0.002399928150675176
Chur (GR)	A.D.1.4	2024-12-29	0.0009986856098940454	0.00023904475002791613	0.002367933152790269
Chur (GR)	A.D.1.4	2025-01-11	0.0014609849987178806	0.0001401177135654767	0.0029731688808180942
Chur (GR)	A.D.1.4	2025-01-19	0.0018976247877986342	0.0006955430771232124	0.0039523658158093266
Chur (GR)	A.D.1.4	2025-01-21	0.0018226634216585661	0.0007044864947770221	0.0036160899408188515
Chur (GR)	A.D.1.4	2025-01-24	0.001850476866916136	0.0007274203326039708	0.0034535754912051967
Chur (GR)	A.D.1.4	2025-01-29	0.0018107832182435854	0.0004828038489249342	0.003501788137485637
Chur (GR)	A.D.1.4	2025-02-01	0.0016016308447324892	0.0002642805477721053	0.0032532761450763618
Chur (GR)	A.D.1.4	2025-02-06	0.0013447529367570513	0.00011679251705249782	0.0028494822703682785
Chur (GR)	A.D.1.4	2025-02-09	0.0010970135205728973	6.164698070947755e-05	0.002253872374124986
Chur (GR)	A.D.1.4	2025-02-14	0.0011131634718011987	0.00018570669892298958	0.0021554719260560903
Chur (GR)	A.D.1.4	2025-02-18	0.001682708104221318	0.0004218360154559644	0.0029173025567897884
Chur (GR)	A.D.1.4	2025-02-22	0.002535406099523313	0.0008261613468155094	0.005054248607778156
Chur (GR)	A.D.1.4	2025-02-26	0.003413822780278103	0.0012927889237752718	0.006281470867822846
Chur (GR)	A.D.1.4	2025-03-02	0.002613810706672401	0.001041494646374781	0.004622732713795443
Chur (GR)	A.D.1.4	2025-03-06	0.0017106753999018298	0.0005127879443471828	0.0033542333295949185
Chur (GR)	A.D.1.4	2025-03-07	0.001738200990368494	0.0005190153613726564	0.003494890275002945
Chur (GR)	A.D.1.4	2025-03-15	0.002394381600605977	0.0006689221544423726	0.005254719651887068
Chur (GR)	A.D.1.4	2025-03-23	0.0008343893778193022	6.964896103540687e-11	0.002505657561256965
Chur (GR)	A.D.1.4	2025-04-05	0.0005090320608821052	3.3659397883550406e-21	0.0027383636229868138
Chur (GR)	A.D.1.4	2025-04-07	0.000519396911949698	6.959303971671297e-22	0.0030209887985083238
Chur (GR)	A.D.1.4	2025-04-13	0.0005369235430313277	4.930802852318238e-29	0.004006193235453766
Chur (GR)	A.D.1.4	2025-04-18	0.00019647503146955972	7.886969547243266e-25	0.0012930598446318
Chur (GR)	A.D.1.5	2024-11-24	0.0013027629719506626	0.00030529958102555545	0.0030595568566807395
Chur (GR)	A.D.1.5	2024-11-30	0.0018999628474836005	0.00018174218581249902	0.004478040226487856
Chur (GR)	A.D.1.5	2024-12-03	0.0017195108942646017	3.868289850010695e-09	0.005177267930106665
Chur (GR)	A.D.1.5	2024-12-07	0.0008733054909151891	2.1359812299464536e-14	0.0031222992936332902
Chur (GR)	A.D.1.5	2024-12-13	0.0007360109391968381	2.011887371727656e-15	0.002323067017410777
Chur (GR)	A.D.1.5	2024-12-15	0.0008870685652165767	4.89300493030249e-16	0.002601661513543435
Chur (GR)	A.D.1.5	2024-12-28	0.002065316090728215	0.00011939097476509638	0.005539630200361545
Chur (GR)	A.D.1.5	2024-12-29	0.0022550747691718474	0.0002040533580062383	0.006163394421090237
Chur (GR)	A.D.1.5	2025-01-11	0.10461385832157942	0.00671117137974624	0.23129160312879496
Chur (GR)	A.D.1.5	2025-01-19	0.0068108798451488595	0.002227051198071301	0.02337388724083544
Chur (GR)	A.D.1.5	2025-01-21	0.005042141542582566	0.0017616225733385056	0.015970853622888425
Chur (GR)	A.D.1.5	2025-01-24	0.004466852317088273	0.001736302212400711	0.00943299333895408
Chur (GR)	A.D.1.5	2025-01-29	0.007391557245266396	0.0028545901458072844	0.016664586675516374
Chur (GR)	A.D.1.5	2025-02-01	0.018269066752697204	0.003098532445031252	0.06860907015687415
Chur (GR)	A.D.1.5	2025-02-06	0.026208334436683783	0.00403478455244243	0.17072111575389667
Chur (GR)	A.D.1.5	2025-02-09	0.01105558847373222	0.0027097647991600297	0.037534103597312685
Chur (GR)	A.D.1.5	2025-02-14	0.007188232606888005	0.001622397862271493	0.030996510822830878
Chur (GR)	A.D.1.5	2025-02-18	0.012057816431479507	0.002023235538343735	0.06869727503577308
Chur (GR)	A.D.1.5	2025-02-22	0.017572480847339127	0.002722136374280691	0.07383260513234054
