,A1_05_2025_02_10,A2_15_2025_02_11,A3_17_2025_02_18,B1_05_2025_02_14,B2_15_2025_02_14,B3_17_2025_02_22,C1_10_2025_02_10,C2_16_2025_02_11,C3_25_2025_02_18,D1_10_2025_02_14,D2_16_2025_02_12,D3_25_2025_02_22,E1_17_2025_02_10,E2_05_2025_02_18,E3_15_2025_02_19,F1_17_2025_02_14,F2_05_2025_02_22,F3_15_2025_02_23,G1_25_2025_02_10,G2_10_2025_02_18,G3_16_2025_02_18,H1_25_2025_02_14,H2_10_2025_02_22,H3_16_2025_02_20
IA_H1,88242,9352,0,59092,79056,9144,325378,89610,7562,115298,40040,170,326,24802,22244,90700,40,45532,22896,0,23828,108034,0,118880
IA_MP,4962,0,0,0,10223,1473,17380,86512,9338,24915,91564,0,0,41929,50387,10587,15867,20254,0,35414,30735,13315,57020,12111
IA_N2,15390,6058,522,0,4706,11522,19304,17690,15200,0,28246,0,0,9994,4018,33182,22406,636,2932,0,11822,29908,1430,7906
IA_H3,29492,4614,5940,16822,13894,63360,32730,169934,4938,32058,150342,83180,4478,42956,18896,38118,38654,2208,12330,44216,6828,13798,40740,54360
IA_N1,151338,50392,0,9336,36822,279298,142828,174462,81034,104228,273732,0,9376,93478,140538,64034,40042,12152,75318,0,61728,186308,7904,41254
RSVA,755066,4,274927,254099,0,1361355,846211,231329,2,219694,372417,564982,80,256718,5,1273048,567926,1,9151,597678,42973,96176,85858,1621
RSVB,121495,2,59239,393717,4,1503523,360316,414687,2,223917,429970,1030253,150,243438,0,423055,318758,0,529115,306444,666072,838951,291074,340369
SARS_CoV_2,902157,251681,518173,315549,309171,2218535,1231638,1537909,657369,457341,1587490,660282,233203,347679,701478,192477,1374823,506326,745419,385570,1155869,430824,621821,2245995
total,2068142,322103,858801,1048615,453876,5448210,2975785,2722133,775445,1177451,2973801,2338867,247613,1060994,937566,2125201,2378516,587109,1397161,1369322,1999855,1717314,1105847,2822496
