,sample_id,date,location,subtype,genome_region,nuc_diversity,covered_part,mean_pos_coverage,richness
0,H2_16_2024_11_06,2024_11_06,16,RSV-B,G,,0.0,0.0,
1,H2_16_2024_11_06,2024_11_06,16,RSV-B,F,,0.0,0.0,
2,H2_16_2024_11_06,2024_11_06,16,RSV-B,genome,1.3567117190948381e-05,0.025489423203258442,5.630731835501249,7.731958762886598
3,A3_16_2024_11_07,2024_11_07,16,RSV-B,G,,0.0,0.0,
4,A3_16_2024_11_07,2024_11_07,16,RSV-B,F,,0.0,0.0,
5,A3_16_2024_11_07,2024_11_07,16,RSV-B,genome,0.00014478322456469762,0.025160951254762844,278.00170805413217,10.443864229765014
6,B3_16_2024_11_08,2024_11_08,16,RSV-B,G,,0.0,0.0,
7,B3_16_2024_11_08,2024_11_08,16,RSV-B,F,,0.0,0.0,
8,B3_16_2024_11_08,2024_11_08,16,RSV-B,genome,,0.0,0.0,
9,A1_05_2024_11_13,2024_11_13,05,RSV-B,G,,0.0,0.0,
10,A1_05_2024_11_13,2024_11_13,05,RSV-B,F,,0.0,0.0,
11,A1_05_2024_11_13,2024_11_13,05,RSV-B,genome,,0.0,0.0,
12,H2_16_2024_11_14,2024_11_14,16,RSV-B,G,0.0016252005724326805,0.6806002143622722,266.2604501607717,25.196850393700785
13,H2_16_2024_11_14,2024_11_14,16,RSV-B,F,,0.0,0.0,
14,H2_16_2024_11_14,2024_11_14,16,RSV-B,genome,0.0032055845520282665,0.19294442254631455,401.05551175929577,17.364657814096017
15,B1_05_2024_11_16,2024_11_16,05,RSV-B,G,,0.0,0.0,
16,B1_05_2024_11_16,2024_11_16,05,RSV-B,F,,0.0,0.0,
17,B1_05_2024_11_16,2024_11_16,05,RSV-B,genome,,0.0,0.0,
18,A3_16_2024_11_17,2024_11_17,16,RSV-B,G,,0.0,0.0,
19,A3_16_2024_11_17,2024_11_17,16,RSV-B,F,,0.0,0.0,
20,A3_16_2024_11_17,2024_11_17,16,RSV-B,genome,,0.0,0.0,
21,C1_05_2024_11_17,2024_11_17,05,RSV-B,G,,0.0,0.0,
22,C1_05_2024_11_17,2024_11_17,05,RSV-B,F,,0.0,0.0,
23,C1_05_2024_11_17,2024_11_17,05,RSV-B,genome,,0.0,0.0,
24,B3_16_2024_11_18,2024_11_18,16,RSV-B,G,,0.0,0.0,
25,B3_16_2024_11_18,2024_11_18,16,RSV-B,F,4.056600123358762e-05,0.21043478260869566,1037.0597101449275,19.28374655647383
26,B3_16_2024_11_18,2024_11_18,16,RSV-B,genome,0.00013380295327118376,0.1687031927473394,797.7918801734332,10.12461059190031
27,A1_05_2024_11_21,2024_11_21,05,RSV-B,G,,0.0,0.0,
28,A1_05_2024_11_21,2024_11_21,05,RSV-B,F,,0.0,0.0,
29,A1_05_2024_11_21,2024_11_21,05,RSV-B,genome,,0.0,0.0,
30,B1_05_2024_11_22,2024_11_22,05,RSV-B,G,,0.0,0.15434083601286175,
31,B1_05_2024_11_22,2024_11_22,05,RSV-B,F,,0.0,0.07014492753623189,
32,B1_05_2024_11_22,2024_11_22,05,RSV-B,genome,,0.0,0.03015372487189594,
33,H2_16_2024_11_22,2024_11_22,16,RSV-B,G,0.0006479318165340529,0.5852090032154341,11688.06216505895,31.135531135531135
34,H2_16_2024_11_22,2024_11_22,16,RSV-B,F,0.0,0.07478260869565218,4559.3785507246375,0.0
35,H2_16_2024_11_22,2024_11_22,16,RSV-B,genome,0.0006283762021128313,0.36368414137432664,2989.5038759689924,10.476878612716764
36,A3_16_2024_11_23,2024_11_23,16,RSV-B,G,0.0003626317500611682,0.5852090032154341,13592.862808145766,29.304029304029303
37,A3_16_2024_11_23,2024_11_23,16,RSV-B,F,0.00021262962009675022,0.744927536231884,10629.339130434782,8.560311284046694
38,A3_16_2024_11_23,2024_11_23,16,RSV-B,genome,0.0009468559388181356,0.25220076205492054,3579.991919590067,13.024225058609012
39,C1_05_2024_11_24,2024_11_24,05,RSV-B,G,,0.0,0.0,
40,C1_05_2024_11_24,2024_11_24,05,RSV-B,F,,0.0,0.0,
41,C1_05_2024_11_24,2024_11_24,05,RSV-B,genome,,0.0,0.0,
42,B2_25_2024_11_25,2024_11_25,25,RSV-B,G,,0.0,0.0,
43,B2_25_2024_11_25,2024_11_25,25,RSV-B,F,,0.0,0.0,
44,B2_25_2024_11_25,2024_11_25,25,RSV-B,genome,,0.0,0.0,
45,B3_16_2024_11_25,2024_11_25,16,RSV-B,G,0.006328489954387697,0.6034297963558414,12477.586280814576,30.19538188277087
46,B3_16_2024_11_25,2024_11_25,16,RSV-B,F,0.00044389175994186857,0.7286956521739131,7119.55768115942,8.750994431185362
47,B3_16_2024_11_25,2024_11_25,16,RSV-B,genome,0.0010636847147270582,0.5022993036394692,3181.916108264354,11.901647920481297
48,G1_17_2024_11_25,2024_11_25,17,RSV-B,G,,0.0,0.0,
49,G1_17_2024_11_25,2024_11_25,17,RSV-B,F,,0.0,0.0,
50,G1_17_2024_11_25,2024_11_25,17,RSV-B,genome,,0.0,0.0,
51,E2_15_2024_11_27,2024_11_27,15,RSV-B,G,,0.0,0.0,
52,E2_15_2024_11_27,2024_11_27,15,RSV-B,F,,0.0,0.0,
53,E2_15_2024_11_27,2024_11_27,15,RSV-B,genome,,0.0,0.0,
54,C2_25_2024_11_29,2024_11_29,25,RSV-B,G,,0.0,0.0,
55,C2_25_2024_11_29,2024_11_29,25,RSV-B,F,,0.0,0.0,
56,C2_25_2024_11_29,2024_11_29,25,RSV-B,genome,,0.0,0.0,
57,F2_15_2024_11_29,2024_11_29,15,RSV-B,G,,0.0,0.0,
58,F2_15_2024_11_29,2024_11_29,15,RSV-B,F,,0.0,0.0,
59,F2_15_2024_11_29,2024_11_29,15,RSV-B,genome,,0.0,0.0,
60,H1_17_2024_11_29,2024_11_29,17,RSV-B,G,,0.0,0.0,
61,H1_17_2024_11_29,2024_11_29,17,RSV-B,F,,0.0,0.0,
62,H1_17_2024_11_29,2024_11_29,17,RSV-B,genome,,0.0,0.0,
63,A2_17_2024_11_30,2024_11_30,17,RSV-B,G,,0.0,0.0,
64,A2_17_2024_11_30,2024_11_30,17,RSV-B,F,,0.0,0.0,
65,A2_17_2024_11_30,2024_11_30,17,RSV-B,genome,,0.0,0.0,
66,D2_25_2024_11_30,2024_11_30,25,RSV-B,G,,0.0,0.0,
67,D2_25_2024_11_30,2024_11_30,25,RSV-B,F,,0.0,0.0,
68,D2_25_2024_11_30,2024_11_30,25,RSV-B,genome,,0.0,0.0,
69,G2_15_2024_12_01,2024_12_01,15,RSV-B,G,,0.0,0.0,
70,G2_15_2024_12_01,2024_12_01,15,RSV-B,F,,0.0,0.0,
71,G2_15_2024_12_01,2024_12_01,15,RSV-B,genome,,0.0,0.0,
72,A1_05_2024_12_03,2024_12_03,05,RSV-B,G,,0.0,0.02679528403001072,
73,A1_05_2024_12_03,2024_12_03,05,RSV-B,F,,0.0,0.06144927536231884,
74,A1_05_2024_12_03,2024_12_03,05,RSV-B,genome,0.0002092681780507391,0.09400867165944028,111.81848640126134,11.87980433263452
75,B2_25_2024_12_03,2024_12_03,25,RSV-B,G,,0.0,0.02679528403001072,
76,B2_25_2024_12_03,2024_12_03,25,RSV-B,F,,0.0,0.06144927536231884,
77,B2_25_2024_12_03,2024_12_03,25,RSV-B,genome,,0.0,0.028708448298515307,
78,D1_10_2024_12_03,2024_12_03,10,RSV-B,G,,0.0,0.2304394426580922,
79,D1_10_2024_12_03,2024_12_03,10,RSV-B,F,,0.0,0.32521739130434785,
80,D1_10_2024_12_03,2024_12_03,10,RSV-B,genome,0.0008574153127733591,0.05281828931809224,89.63289975036132,11.194029850746269
81,G1_17_2024_12_03,2024_12_03,17,RSV-B,G,,0.0,0.30010718113612006,
82,G1_17_2024_12_03,2024_12_03,17,RSV-B,F,,0.0,0.27768115942028987,
83,G1_17_2024_12_03,2024_12_03,17,RSV-B,genome,,0.0,0.09078964656418342,
84,H2_16_2024_12_04,2024_12_04,16,RSV-B,G,0.0,0.1607717041800643,6.244372990353698,6.666666666666667
85,H2_16_2024_12_04,2024_12_04,16,RSV-B,F,0.0003602107511352431,0.7217391304347827,728.7084057971015,11.244979919678716
86,H2_16_2024_12_04,2024_12_04,16,RSV-B,genome,0.0005887082175680252,0.4503350413874655,708.2324924451452,11.086797957695113
87,E2_15_2024_12_05,2024_12_05,15,RSV-B,G,,0.0,0.0,
88,E2_15_2024_12_05,2024_12_05,15,RSV-B,F,,0.0,0.0,
89,E2_15_2024_12_05,2024_12_05,15,RSV-B,genome,,0.0,0.01504401524109841,
90,B1_05_2024_12_07,2024_12_07,05,RSV-B,G,0.0,0.1607717041800643,10.559485530546624,6.666666666666667
91,B1_05_2024_12_07,2024_12_07,05,RSV-B,F,,0.0,0.06144927536231884,
92,B1_05_2024_12_07,2024_12_07,05,RSV-B,genome,0.00020753229301831896,0.12613322822230982,126.68749178820129,16.145833333333336
93,C2_25_2024_12_07,2024_12_07,25,RSV-B,G,,0.0,0.0,
94,C2_25_2024_12_07,2024_12_07,25,RSV-B,F,,0.0,0.0,
95,C2_25_2024_12_07,2024_12_07,25,RSV-B,genome,,0.0,0.0,
96,E1_10_2024_12_07,2024_12_07,10,RSV-B,G,0.0003917942520774884,0.4512325830653805,233.61093247588425,21.377672209026127
97,E1_10_2024_12_07,2024_12_07,10,RSV-B,F,,0.0,0.02434782608695652,
98,E1_10_2024_12_07,2024_12_07,10,RSV-B,genome,0.00032424282640111223,0.20194455393509395,444.56621994481674,12.36174365647365
99,H1_17_2024_12_07,2024_12_07,17,RSV-B,G,,0.0,0.17684887459807075,
100,H1_17_2024_12_07,2024_12_07,17,RSV-B,F,0.0002851176921168474,0.21043478260869566,983.3640579710145,19.28374655647383
101,H1_17_2024_12_07,2024_12_07,17,RSV-B,genome,0.00023707046186361355,0.14892918144790435,198.0517014846932,11.910013233348037
102,A2_17_2024_12_08,2024_12_08,17,RSV-B,G,,0.0,0.0,
103,A2_17_2024_12_08,2024_12_08,17,RSV-B,F,,0.0,0.0,
104,A2_17_2024_12_08,2024_12_08,17,RSV-B,genome,,0.0,0.0,
105,A3_16_2024_12_08,2024_12_08,16,RSV-B,G,0.0002618823900297931,0.4983922829581994,5988.158628081457,21.505376344086024
106,A3_16_2024_12_08,2024_12_08,16,RSV-B,F,0.0004198188682374583,0.8353623188405798,2928.0666666666666,12.491325468424705
107,A3_16_2024_12_08,2024_12_08,16,RSV-B,genome,0.0005361281422976951,0.3900275916436736,1325.2123899618973,13.474818932120598
108,C1_05_2024_12_08,2024_12_08,05,RSV-B,G,,0.0,0.30010718113612006,
109,C1_05_2024_12_08,2024_12_08,05,RSV-B,F,,0.0,0.016231884057971015,
110,C1_05_2024_12_08,2024_12_08,05,RSV-B,genome,5.293615035012626e-05,0.029431086585205622,13.724214952043095,8.928571428571429
111,D2_25_2024_12_08,2024_12_08,25,RSV-B,G,,0.0,0.0,
112,D2_25_2024_12_08,2024_12_08,25,RSV-B,F,,0.0,0.0,
113,D2_25_2024_12_08,2024_12_08,25,RSV-B,genome,,0.0,0.0,
114,F1_10_2024_12_08,2024_12_08,10,RSV-B,G,0.0038805809283126358,0.8863879957127545,6410.387995712755,32.648125755743656
115,F1_10_2024_12_08,2024_12_08,10,RSV-B,F,0.0004013541780332413,0.7269565217391304,3132.0788405797102,10.36682615629984
116,F1_10_2024_12_08,2024_12_08,10,RSV-B,genome,0.0015243589151535235,0.6179214295099199,2523.0191827617923,15.203061875398681
117,F2_15_2024_12_08,2024_12_08,15,RSV-B,G,,0.0,0.0,
118,F2_15_2024_12_08,2024_12_08,15,RSV-B,F,,0.0,0.0,
119,F2_15_2024_12_08,2024_12_08,15,RSV-B,genome,,0.0,0.0,
120,B3_16_2024_12_09,2024_12_09,16,RSV-B,G,0.0023963958021237376,0.977491961414791,7808.519828510182,31.79824561403509
121,B3_16_2024_12_09,2024_12_09,16,RSV-B,F,0.001797117445355718,0.8973913043478261,10220.496231884057,14.857881136950903
122,B3_16_2024_12_09,2024_12_09,16,RSV-B,genome,0.0019191381185845106,0.8504795690448036,3993.1277098935752,15.603275142901282
123,G2_15_2024_12_09,2024_12_09,15,RSV-B,G,,0.0,0.15005359056806003,
124,G2_15_2024_12_09,2024_12_09,15,RSV-B,F,,0.0,0.008115942028985508,
125,G2_15_2024_12_09,2024_12_09,15,RSV-B,genome,0.0017247591843782286,0.14860070949940876,466.09249770069636,15.473032714412026
126,E2_15_2024_12_10,2024_12_10,15,RSV-B,G,,0.0,0.0,
127,E2_15_2024_12_10,2024_12_10,15,RSV-B,F,,0.0,0.0,
128,E2_15_2024_12_10,2024_12_10,15,RSV-B,genome,,0.0,0.0,
129,A1_05_2024_12_11,2024_12_11,05,RSV-B,G,0.0,0.3461950696677385,27.706323687031084,15.479876160990711
130,A1_05_2024_12_11,2024_12_11,05,RSV-B,F,,0.0,0.0,
131,A1_05_2024_12_11,2024_12_11,05,RSV-B,genome,0.0,0.02121928787281566,1.6981999737222442,15.479876160990711
132,B2_25_2024_12_11,2024_12_11,25,RSV-B,G,,0.0,0.15005359056806003,
133,B2_25_2024_12_11,2024_12_11,25,RSV-B,F,,0.0,0.008115942028985508,
134,B2_25_2024_12_11,2024_12_11,25,RSV-B,genome,,0.0,0.016489291814479043,
135,D1_10_2024_12_11,2024_12_11,10,RSV-B,G,0.00039507754018971633,0.4512325830653805,128.7031082529475,19.002375296912113
136,D1_10_2024_12_11,2024_12_11,10,RSV-B,F,0.0,0.06086956521739131,0.7901449275362319,0.0
137,D1_10_2024_12_11,2024_12_11,10,RSV-B,genome,0.0017088810732191363,0.1040599132834056,316.4044146629878,15.782828282828284
138,G1_17_2024_12_11,2024_12_11,17,RSV-B,G,,0.0,1.0514469453376205,
139,G1_17_2024_12_11,2024_12_11,17,RSV-B,F,,0.0,0.9171014492753623,
